Price,Open,High,Low,Vol,Change %
17502.59000,17588.81000,17588.81000,17486.27000,84.24900,-0.00450
17582.57000,17602.71000,17648.94000,17540.42000,95.45700,-0.00230
17623.87000,17589.70000,17644.97000,17551.28000,84.41700,0.00120
17602.30000,17481.49000,17620.58000,17481.49000,321.23000,0.00690
17481.49000,17321.38000,17529.01000,17297.65000,117.99900,0.00900
17325.76000,17249.34000,17379.18000,17204.07000,118.71600,0.00430
17251.53000,17217.15000,17251.70000,17120.35000,92.83300,0.00130
17229.13000,17207.49000,17275.07000,17161.16000,96.35300,0.00090
17213.31000,17014.99000,17220.09000,17014.99000,123.43100,0.01280
16995.13000,17006.05000,17130.11000,16821.86000,117.57300,-0.00030
17000.36000,16969.17000,17048.50000,16947.94000,116.69600,0.00210
16964.10000,17050.67000,17072.79000,16921.51000,108.38000,-0.00640
17073.95000,16991.29000,17099.25000,16940.48000,100.29500,0.00400
17006.77000,16945.00000,17062.38000,16898.84000,106.91700,0.00370
16943.90000,16896.17000,16944.31000,16820.73000,91.11000,0.00260
16899.32000,16851.17000,16900.17000,16766.32000,104.47200,0.00200
16865.08000,16545.67000,16865.56000,16545.67000,105.05800,0.02110
16516.50000,16634.15000,16726.12000,16510.40000,126.22000,-0.00740
16639.97000,16712.70000,16795.98000,16623.91000,98.48700,-0.00340
16697.29000,16504.38000,16697.98000,16458.42000,94.12900,0.01290
16484.99000,16418.84000,16507.39000,16165.86000,93.62900,0.00320
16431.78000,16610.39000,16610.39000,16403.53000,98.17800,-0.01140
16620.66000,16417.13000,16664.24000,16417.13000,102.24600,0.01400
16391.99000,16410.96000,16410.96000,16278.00000,134.34900,-0.00130
16413.43000,16483.76000,16511.84000,16390.43000,104.95300,-0.00250
16453.83000,16217.98000,16486.12000,16217.98000,124.08300,0.01590
16196.41000,16012.39000,16196.41000,16012.39000,142.03100,0.01390
15973.84000,15691.62000,15974.04000,15691.62000,132.55400,0.02000
15660.18000,15897.82000,15897.82000,15503.01000,172.07800,-0.01600
15914.74000,16035.61000,16201.89000,15899.91000,122.29400,-0.00620
16014.38000,16005.41000,16136.62000,15881.11000,127.74800,-0.00080
16027.05000,16147.51000,16147.51000,15803.55000,165.88500,-0.01100
16204.97000,16417.95000,16423.63000,16129.81000,139.01700,-0.01290
16416.58000,16329.67000,16485.84000,16266.16000,131.49800,0.00490
16336.66000,16186.20000,16381.69000,15960.45000,141.87600,0.01130
16153.54000,16420.21000,16420.21000,16108.44000,126.21400,-0.01800
16449.18000,16453.63000,16510.98000,16299.47000,114.45800,-0.00100
16466.30000,16090.26000,16466.30000,16090.26000,217.94000,0.02470
16069.64000,15960.28000,16102.14000,15863.72000,130.12400,0.00790
15944.46000,16168.74000,16235.03000,15878.30000,138.35600,-0.01380
16167.23000,15893.16000,16185.79000,15893.16000,118.21300,0.01780
15885.22000,16086.46000,16086.46000,15880.15000,123.25200,-0.01290
16093.51000,15921.10000,16136.79000,15921.10000,145.85100,0.01330
15882.68000,15768.87000,16038.59000,15704.66000,145.14800,0.00740
15766.74000,15989.45000,15989.45000,15450.56000,191.87400,-0.01560
16016.02000,16009.45000,16171.96000,15900.25000,144.36200,0.00170
15988.08000,16354.33000,16354.33000,15842.11000,239.21800,-0.02390
16379.05000,16159.01000,16482.05000,16075.12000,158.83500,0.01410
16151.41000,16526.63000,16593.51000,16123.20000,153.53100,-0.02210
16516.22000,16419.11000,16591.35000,16322.07000,117.48200,0.00720
16398.57000,16358.71000,16461.85000,16232.03000,127.79700,0.00320
16346.45000,16519.17000,16651.89000,16314.57000,141.85500,-0.01020
16514.10000,16888.36000,16888.36000,16463.63000,176.24000,-0.02320
